ErrorCode,step,Question,Answer
3_03,3,I've confirmed the software version is correct; what's next?,"Now test the lock and lock signal functionality to rule out mechanical blockage: physically open the door by pulling the handle. If the lock remains engaged, access the Service UI, tap Operation then Open Door. If the lock disengages on command, the lock mechanism and control signal are functioning properly."
3_03,4,I've verified the lock disengages via the Service UI; what's next?,"Inspect the lock cable assembly: power off the cooler and remove the control box cover. Using the electrical diagram on the cover and the PC sticker as guides, locate the cable labeled LOCK. Confirm the connector is fully seated on the Jupiter and tighten as needed. If the cable insulation or connector shows damage, replace the entire assembly before moving on."
3_03,5,I've ensured the lock cable is properly connected; what's next?,"Next, confirm the RFID pairing: open the FQC App and view the pairing between the reader and tag. If the reader and tag IDs match, the pairing is correct. If they differ, re-pair them per the CV companys procedure or contact CV support for assistance. Once re-paired, repeat the lock signal functionality test in the Service UI."
3_03,6,I've repaired the RFID and repeated the previous tests; what's next?,"Cycle through prevoius steps until each one passes. If all items PASS but the OPEN_LOCK_FAIL_TIMEOUT error still appears, the lock hardware itself may be faulty. At that point, replace the lock mechanism or escalate to your CV companys advanced support for deeper diagnostics."
3_03,7,It is still not working.,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_04,1,How should I start troubleshooting this error?,"Reboot cooler. Press the GFCIs RESET button, unplug and re-plug the mains cord, then open the Service UI ? Reboot dialog."
3_04,2,Ive rebooted the cooler; what should I do next?,"If error code persists, confirm the SW version. If the SW version is incorrect, take a photo of the Service UI ""BasicInfo"" section and contact CV company.  a. After SW update, confirm in the Service UI ""BasicInfo"" section that the SW has been updated."
3_04,3,Ive confirmed the SW version and CV version; what should I do next?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_05,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_06,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_08,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_09,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_10,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_13,1,How should I start troubleshooting this error?,"Start by rebooting the cooler. Press the GFCIs RESET button, unplug and re-plug the mains cord, then open the Service UI ? Reboot dialog."
3_13,2,I've rebooted the cooler; what's next?,"Lock abnormal means the Jupiter senses the lock but its default state isnt as expected—often due to software control or physical blockage. Next, confirm the software version: open the Service UI and navigate to the BasicInfo section. Verify the SW version; if its incorrect, take a photo of the BasicInfo screen and contact the CV company to get the proper update. After updating, return to BasicInfo and ensure the new version is displayed before proceeding."
3_13,3,I've confirmed the software version is correct; what's next?,"Now test the lock and lock signal functionality to rule out mechanical blockage: physically open the door by pulling the handle. If the lock remains engaged, access the Service UI, tap Operation then Open Door. If the lock disengages on command, the lock mechanism and control signal are functioning properly."
3_13,4,I've verified the lock disengages via the Service UI; what's next?,"Inspect the lock cable assembly: power off the cooler and remove the control box cover. Using the electrical diagram on the cover and the PC sticker as guides, locate the cable labeled LOCK. Confirm the connector is fully seated on the Jupiter and tighten as needed. If the cable insulation or connector shows damage, replace the entire assembly before moving on."
3_13,5,I've ensured the lock cable is properly connected; what's next?,"Next, confirm the RFID pairing: open the FQC App and view the pairing between the reader and tag. If the reader and tag IDs match, the pairing is correct. If they differ, re-pair them per the CV companys procedure or contact CV support for assistance. Once re-paired, repeat the lock signal functionality test in the Service UI."
3_13,6,I've repaired the RFID and repeated the previous tests; what's next?,"Cycle through prevoius steps until each one passes. If all items PASS but the LOCK_ABNORMAL error still appears, the lock hardware itself may be faulty. At that point, replace the lock mechanism or escalate to your CV companys advanced support for deeper diagnostics."
3_13,7,It is still not working.,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_14,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_15,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_16,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_17,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_18,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_19,1,How should I start troubleshooting this error?,"Start by rebooting the cooler. Press the GFCIs RESET button, unplug and re-plug the mains cord, then open the Service UI ? Reboot dialog."
3_19,2,I've rebooted the cooler; what's next?,"Lock abnormal means the Jupiter senses the lock but its default state isnt as expected—often due to software control or physical blockage. Next, confirm the software version: open the Service UI and navigate to the BasicInfo section. Verify the SW version; if its incorrect, take a photo of the BasicInfo screen and contact the CV company to get the proper update. After updating, return to BasicInfo and ensure the new version is displayed before proceeding."
3_19,3,I've confirmed the software version is correct; what's next?,"Now test the lock and lock signal functionality to rule out mechanical blockage: physically open the door by pulling the handle. If the lock remains engaged, access the Service UI, tap Operation then Open Door. If the lock disengages on command, the lock mechanism and control signal are functioning properly."
3_19,4,I've verified the lock disengages via the Service UI; what's next?,"Inspect the lock cable assembly: power off the cooler and remove the control box cover. Using the electrical diagram on the cover and the PC sticker as guides, locate the cable labeled LOCK. Confirm the connector is fully seated on the Jupiter and tighten as needed. If the cable insulation or connector shows damage, replace the entire assembly before moving on."
3_19,5,I've ensured the lock cable is properly connected; what's next?,"Next, confirm the RFID pairing: open the FQC App and view the pairing between the reader and tag. If the reader and tag IDs match, the pairing is correct. If they differ, re-pair them per the CV companys procedure or contact CV support for assistance. Once re-paired, repeat the lock signal functionality test in the Service UI."
3_19,6,I've repaired the RFID and repeated the previous tests; what's next?,"Cycle through prevoius steps until each one passes. If all items PASS but the LOCK_ISSUE error still appears, the lock hardware itself may be faulty. At that point, replace the lock mechanism or escalate to your CV companys advanced support for deeper diagnostics."
3_19,7,It is still not working.,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_20,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
3_22,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_1,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_3,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_4,1,How should I start troubleshooting this error?,"Start by rebooting the cooler. Press the GFCIs RESET button, unplug and re-plug the mains cord, then open the Service UI ? Reboot dialog."
4_4,2,I've rebooted the cooler; what's next?,"Lock abnormal means the Jupiter senses the lock but its default state isnt as expected—often due to software control or physical blockage. Next, confirm the software version: open the Service UI and navigate to the BasicInfo section. Verify the SW version; if its incorrect, take a photo of the BasicInfo screen and contact the CV company to get the proper update. After updating, return to BasicInfo and ensure the new version is displayed before proceeding."
4_4,3,I've confirmed the software version is correct; what's next?,"Now test the lock and lock signal functionality to rule out mechanical blockage: physically open the door by pulling the handle. If the lock remains engaged, access the Service UI, tap Operation then Open Door. If the lock disengages on command, the lock mechanism and control signal are functioning properly."
4_4,4,I've verified the lock disengages via the Service UI; what's next?,"Inspect the lock cable assembly: power off the cooler and remove the control box cover. Using the electrical diagram on the cover and the PC sticker as guides, locate the cable labeled LOCK. Confirm the connector is fully seated on the Jupiter and tighten as needed. If the cable insulation or connector shows damage, replace the entire assembly before moving on."
4_4,5,I've ensured the lock cable is properly connected; what's next?,"Next, confirm the RFID pairing: open the FQC App and view the pairing between the reader and tag. If the reader and tag IDs match, the pairing is correct. If they differ, re-pair them per the CV companys procedure or contact CV support for assistance. Once re-paired, repeat the lock signal functionality test in the Service UI."
4_4,6,I've repaired the RFID and repeated the previous tests; what's next?,"Cycle through prevoius steps until each one passes. If all items PASS but the LOCK_ABNORMAL error still appears, the lock hardware itself may be faulty. At that point, replace the lock mechanism or escalate to your CV companys advanced support for deeper diagnostics."
4_4,7,It is still not working.,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_5,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_6,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_7,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_22,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_28,1,How should I start troubleshooting this error?,"Start by rebooting the cooler. Press the GFCIs RESET button, unplug and re-plug the mains cord, then open the Service UI ? Reboot dialog."
4_28,2,I've rebooted the cooler; what's next?,"Lock abnormal means the Jupiter senses the lock but its default state isnt as expected—often due to software control or physical blockage. Next, confirm the software version: open the Service UI and navigate to the BasicInfo section. Verify the SW version; if its incorrect, take a photo of the BasicInfo screen and contact the CV company to get the proper update. After updating, return to BasicInfo and ensure the new version is displayed before proceeding."
4_28,3,I've confirmed the software version is correct; what's next?,"Now test the lock and lock signal functionality to rule out mechanical blockage: physically open the door by pulling the handle. If the lock remains engaged, access the Service UI, tap Operation then Open Door. If the lock disengages on command, the lock mechanism and control signal are functioning properly."
4_28,4,I've verified the lock disengages via the Service UI; what's next?,"Inspect the lock cable assembly: power off the cooler and remove the control box cover. Using the electrical diagram on the cover and the PC sticker as guides, locate the cable labeled LOCK. Confirm the connector is fully seated on the Jupiter and tighten as needed. If the cable insulation or connector shows damage, replace the entire assembly before moving on."
4_28,5,I've ensured the lock cable is properly connected; what's next?,"Next, confirm the RFID pairing: open the FQC App and view the pairing between the reader and tag. If the reader and tag IDs match, the pairing is correct. If they differ, re-pair them per the CV companys procedure or contact CV support for assistance. Once re-paired, repeat the lock signal functionality test in the Service UI."
4_28,6,I've repaired the RFID and repeated the previous tests; what's next?,"Cycle through prevoius steps until each one passes. If all items PASS but the LOCK_ISSUE error still appears, the lock hardware itself may be faulty. At that point, replace the lock mechanism or escalate to your CV companys advanced support for deeper diagnostics."
4_28,7,It is still not working.,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_29,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_30,1,How should I start troubleshooting this error?,"Start by rebooting the cooler. Press the GFCIs RESET button, unplug and re-plug the mains cord, then open the Service UI ? Reboot dialog."
4_30,2,I've rebooted the cooler; what's next?,"Lock abnormal means the Jupiter senses the lock but its default state isnt as expected—often due to software control or physical blockage. Next, confirm the software version: open the Service UI and navigate to the BasicInfo section. Verify the SW version; if its incorrect, take a photo of the BasicInfo screen and contact the CV company to get the proper update. After updating, return to BasicInfo and ensure the new version is displayed before proceeding."
4_30,3,I've confirmed the software version is correct; what's next?,"Now test the lock and lock signal functionality to rule out mechanical blockage: physically open the door by pulling the handle. If the lock remains engaged, access the Service UI, tap Operation then Open Door. If the lock disengages on command, the lock mechanism and control signal are functioning properly."
4_30,4,I've verified the lock disengages via the Service UI; what's next?,"Inspect the lock cable assembly: power off the cooler and remove the control box cover. Using the electrical diagram on the cover and the PC sticker as guides, locate the cable labeled LOCK. Confirm the connector is fully seated on the Jupiter and tighten as needed. If the cable insulation or connector shows damage, replace the entire assembly before moving on."
4_30,5,I've ensured the lock cable is properly connected; what's next?,"Next, confirm the RFID pairing: open the FQC App and view the pairing between the reader and tag. If the reader and tag IDs match, the pairing is correct. If they differ, re-pair them per the CV companys procedure or contact CV support for assistance. Once re-paired, repeat the lock signal functionality test in the Service UI."
4_30,6,I've repaired the RFID and repeated the previous tests; what's next?,"Cycle through prevoius steps until each one passes. If all items PASS but the LOCK_ISSUE error still appears, the lock hardware itself may be faulty. At that point, replace the lock mechanism or escalate to your CV companys advanced support for deeper diagnostics."
4_30,7,It is still not working.,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_31,1,How should I start troubleshooting this error?,"Start by rebooting the cooler. Press the GFCIs RESET button, unplug and re-plug the mains cord, then open the Service UI ? Reboot dialog."
4_31,2,I've rebooted the cooler; what's next?,"Lock abnormal means the Jupiter senses the lock but its default state isnt as expected—often due to software control or physical blockage. Next, confirm the software version: open the Service UI and navigate to the BasicInfo section. Verify the SW version; if its incorrect, take a photo of the BasicInfo screen and contact the CV company to get the proper update. After updating, return to BasicInfo and ensure the new version is displayed before proceeding."
4_31,3,I've confirmed the software version is correct; what's next?,"Now test the lock and lock signal functionality to rule out mechanical blockage: physically open the door by pulling the handle. If the lock remains engaged, access the Service UI, tap Operation then Open Door. If the lock disengages on command, the lock mechanism and control signal are functioning properly."
4_31,4,I've verified the lock disengages via the Service UI; what's next?,"Inspect the lock cable assembly: power off the cooler and remove the control box cover. Using the electrical diagram on the cover and the PC sticker as guides, locate the cable labeled LOCK. Confirm the connector is fully seated on the Jupiter and tighten as needed. If the cable insulation or connector shows damage, replace the entire assembly before moving on."
4_31,5,I've ensured the lock cable is properly connected; what's next?,"Next, confirm the RFID pairing: open the FQC App and view the pairing between the reader and tag. If the reader and tag IDs match, the pairing is correct. If they differ, re-pair them per the CV companys procedure or contact CV support for assistance. Once re-paired, repeat the lock signal functionality test in the Service UI."
4_31,6,I've repaired the RFID and repeated the previous tests; what's next?,"Cycle through prevoius steps until each one passes. If all items PASS but the LOCK_ISSUE error still appears, the lock hardware itself may be faulty. At that point, replace the lock mechanism or escalate to your CV companys advanced support for deeper diagnostics."
4_31,7,It is still not working.,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_32,1,How should I start troubleshooting this error?,"Start by rebooting the cooler. Press the GFCIs RESET button, unplug and re-plug the mains cord, then open the Service UI ? Reboot dialog."
4_32,2,I've rebooted the cooler; what's next?,"Lock abnormal means the Jupiter senses the lock but its default state isnt as expected—often due to software control or physical blockage. Next, confirm the software version: open the Service UI and navigate to the BasicInfo section. Verify the SW version; if its incorrect, take a photo of the BasicInfo screen and contact the CV company to get the proper update. After updating, return to BasicInfo and ensure the new version is displayed before proceeding."
4_32,3,I've confirmed the software version is correct; what's next?,"Now test the lock and lock signal functionality to rule out mechanical blockage: physically open the door by pulling the handle. If the lock remains engaged, access the Service UI, tap Operation then Open Door. If the lock disengages on command, the lock mechanism and control signal are functioning properly."
4_32,4,I've verified the lock disengages via the Service UI; what's next?,"Inspect the lock cable assembly: power off the cooler and remove the control box cover. Using the electrical diagram on the cover and the PC sticker as guides, locate the cable labeled LOCK. Confirm the connector is fully seated on the Jupiter and tighten as needed. If the cable insulation or connector shows damage, replace the entire assembly before moving on."
4_32,5,I've ensured the lock cable is properly connected; what's next?,"Next, confirm the RFID pairing: open the FQC App and view the pairing between the reader and tag. If the reader and tag IDs match, the pairing is correct. If they differ, re-pair them per the CV companys procedure or contact CV support for assistance. Once re-paired, repeat the lock signal functionality test in the Service UI."
4_32,6,I've repaired the RFID and repeated the previous tests; what's next?,"Cycle through prevoius steps until each one passes. If all items PASS but the LOCK_ISSUE error still appears, the lock hardware itself may be faulty. At that point, replace the lock mechanism or escalate to your CV companys advanced support for deeper diagnostics."
4_32,7,It is still not working.,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
4_34,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
5_01,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
5_02,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
5_03,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
6_01,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
6_02,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
7_01,1,How should I start troubleshooting this error?,Thank you for your patience. Please contact the QuikPick team. You will need a photo of the Service UI BasicInfo section and the Jupiter PCSN. Ensure you mention the error code to the team.
